vamos,18
estado,18
queremos,17
educação,16
mundo,13
pobreza,13
livre,13
qualidade,12
visão,12
longo,11
redução,11
simples,11
propostas,11
prazo,11
possam,10
cidadão,10
recursos,10
setor,9
público,9
melhor,9
saúde,9
temos,9
trabalhar,9
privilégios,9
públicos,9
precisa,8
países,8
políticos,8
gerações,8
ensino,8
pessoas,8
fazer,8
sociedade,8
segurança,8
gestão,8
impostos,8
responsabilidade,8
oportunidades,7
liberdade,7
mundial,7
cidadãos,7
seguro,7
mercado,7
desenvolvimento,6
jovens,6
serviços,6
burocracia,6
social,6
crianças,6
posição,6
previdência,6
pública,6
comércio,6
construir,6
chegar,6
renda,6
sustentável,6
empreender,6
família,6
proteção,5
