desenvolvimento,82
criação,60
população,55
empresas,50
saúde,45
sistema,45
mulheres,39
ensino,36
relação,36
serviços,33
programa,33
trabalho,33
empregos,33
educação,32
programas,31
maior,31
ações,30
estímulo,29
estados,29
acesso,28
social,28
sociais,28
mercado,28
produção,27
públicas,27
setor,27
controle,26
melhoria,25
defesa,25
pública,24
implementação,24
jovens,24
fortalecimento,23
recursos,23
condições,23
pessoas,23
processo,22
garantia,22
estratégia,22
redução,22
atendimento,22
qualidade,22
fundamental,21
medidas,21
setores,21
ampliação,21
médio,21
serão,21
infraestrutura,21
federal,20
segurança,20
participação,19
sociedade,19
capacidade,19
público,19
tecnologia,19
metas,19
atenção,19
privado,18
universidades,18
